stock,option type,strike price,expiration date,days to expiration,current price,dividend,annualized volatility,open interest,last option price,10 branch binomial equation,150 branch binomial equation,option valuation,Days Til ER,StrikeBLow,ExAfterEarnings,premium plus,mean diff,actual spread
AA,CALL,45.0,2022-04-14,46,77.85,0.0050999997,0.6027712972174836,2506,32.95,33.167458,33.179221,1.006957,45,N,Y,0.7322,0.006778133535660031,-3.0817
AA,CALL,48.0,2022-04-14,46,77.85,0.0050999997,0.6027712972174836,1079,30.03,30.223411,30.229299,1.006637,45,N,Y,0.6256,0.006538628038627996,-2.5295
AA,CALL,55.0,2022-04-14,46,77.85,0.0050999997,0.6027712972174836,1064,23.43,23.519128,23.509578,1.003804,45,N,Y,0.426,0.0036002134016218574,-2.8139
AA,CALL,60.0,2022-04-14,46,77.85,0.0050999997,0.6027712972174836,2864,18.93,18.949639,19.001775,1.003792,45,N,Y,0.3155,0.0024145272054939336,-4.0431
AA,CALL,65.0,2022-04-14,46,77.85,0.0050999997,0.6027712972174836,7854,14.9,14.932933,14.88497,1.00221,45,N,Y,0.2292,0.0016094966442953384,-4.1096
AA,CALL,70.0,2022-04-14,46,77.85,0.0050999997,0.6027712972174836,3707,11.25,11.351629,11.291313,1.009034,45,N,Y,0.1607,0.006352977777777842,-5.4795
AA,CALL,75.0,2022-04-14,46,77.85,0.0050999997,0.6027712972174836,1204,8.35,8.397667,8.30461,1.005709,45,N,Y,0.1113,0.005572275449101794,-4.908
AA,CALL,80.0,2022-04-14,46,77.85,0.0050999997,0.6027712972174836,11577,5.93,5.980028,5.935771,1.008436,45,N,Y,0.0741,0.0047048060708263385,-6.087
AA,CALL,85.0,2022-04-14,46,77.85,0.0050999997,0.6027712972174836,7247,4.13,4.244908,4.127754,1.027823,45,N,Y,0.0486,0.01418329297820815,-6.25
AA,CALL,90.0,2022-04-14,46,77.85,0.0050999997,0.6027712972174836,2528,2.84,2.689269,2.785308,0.980742,45,N,Y,0.0316,0.03616602112676051,-8.0586
AA,PUT,55.0,2022-03-18,19,77.85,0.0050999997,0.6027712972174836,3659,0.12,0.005676,0.015269,0.127242,45,N,N,0.0022,0.9127291666666667,-40.0
AA,PUT,60.0,2022-03-18,19,77.85,0.0050999997,0.6027712972174836,5355,0.32,0.068558,0.099694,0.311544,45,N,N,0.0053,0.73710625,-52.0
AA,PUT,65.0,2022-03-18,19,77.85,0.0050999997,0.6027712972174836,5478,0.65,0.367694,0.411301,0.632771,45,N,N,0.01,0.40077307692307684,-15.0
AA,PUT,70.0,2022-03-18,19,77.85,0.0050999997,0.6027712972174836,3735,1.55,1.23805,1.235903,0.798742,45,N,N,0.0221,0.20195064516129033,-8.7838
AA,PUT,75.0,2022-03-18,19,77.85,0.0050999997,0.6027712972174836,1770,3.22,2.932272,2.842375,0.910643,45,N,N,0.0429,0.10331568322981367,-4.7619
AA,PUT,42.0,2022-04-14,46,77.85,0.0050999997,0.6027712972174836,1050,0.13,0.002979,0.006023,0.046328,45,N,Y,0.0031,0.965376923076923,-450.0
AA,PUT,44.0,2022-04-14,46,77.85,0.0050999997,0.6027712972174836,1854,0.17,0.005405,0.012878,0.07575,45,N,Y,0.0039,0.9462264705882353,-212.5
AA,PUT,55.0,2022-04-14,46,77.85,0.0050999997,0.6027712972174836,1074,0.7,0.290259,0.280693,0.414656,45,N,Y,0.0127,0.5921771428571428,-13.8462
AA,PUT,60.0,2022-04-14,46,77.85,0.0050999997,0.6027712972174836,1505,1.21,0.691428,0.740036,0.6116,45,N,Y,0.0202,0.4084859504132231,-6.8376
AAL,CALL,18.0,2022-03-11,12,17.46,0,0.45826114458318773,1399,0.53,0.380692,0.368193,0.718287,52,N,N,0.0294,0.2935047169811321,-14.2857
AAL,CALL,18.5,2022-03-11,12,17.46,0,0.45826114458318773,6887,0.37,0.216175,0.222689,0.601861,52,N,N,0.02,0.40694054054054046,-8.5714
AAL,CALL,19.0,2022-03-11,12,17.46,0,0.45826114458318773,1104,0.24,0.13293,0.126996,0.553876,52,N,N,0.0126,0.4584875,-8.6957
AAL,CALL,20.0,2022-03-11,12,17.46,0,0.45826114458318773,1783,0.11,0.035446,0.034439,0.322239,52,N,N,0.0055,0.682340909090909,-10.0
AAL,CALL,15.0,2022-03-18,19,17.46,0,0.45826114458318773,1474,2.69,2.553346,2.55434,0.949569,52,N,N,0.1793,0.050615985130111556,-5.3435
AAL,CALL,16.0,2022-03-18,19,17.46,0,0.45826114458318773,3499,1.9,1.698292,1.692842,0.893838,52,N,N,0.1187,0.10759631578947368,-3.2086
AAL,CALL,17.0,2022-03-18,19,17.46,0,0.45826114458318773,7545,1.23,1.015535,1.001196,0.825638,52,N,N,0.0724,0.18019065040650403,-2.4793
AAL,CALL,17.5,2022-03-18,19,17.46,0,0.45826114458318773,1804,0.94,0.719562,0.732676,0.779442,52,N,N,0.0537,0.2275329787234042,-4.3478
AAL,CALL,18.0,2022-03-18,19,17.46,0,0.45826114458318773,17939,0.72,0.536434,0.519792,0.745047,52,N,N,0.04,0.2665097222222222,-4.2857
AAL,CALL,19.0,2022-03-18,19,17.46,0,0.45826114458318773,12758,0.39,0.239887,0.235341,0.615094,52,N,N,0.0205,0.3907333333333334,-2.6316
AAL,CALL,20.0,2022-03-18,19,17.46,0,0.45826114458318773,21363,0.2,0.082927,0.093521,0.467607,52,N,N,0.01,0.55888,-10.5263
AAL,CALL,21.0,2022-03-18,19,17.46,0,0.45826114458318773,15583,0.11,0.031101,0.03302,0.300178,52,N,N,0.0052,0.708540909090909,-10.0
AAL,CALL,15.0,2022-04-14,46,17.46,0,0.45826114458318773,1012,3.01,2.803613,2.792293,0.931433,52,N,N,0.2007,0.0704475083056478,-2.6936
AAL,CALL,16.0,2022-04-14,46,17.46,0,0.45826114458318773,2845,2.28,2.042909,2.043068,0.896082,52,N,N,0.1425,0.10395241228070173,-3.125
AAL,CALL,17.0,2022-04-14,46,17.46,0,0.45826114458318773,3272,1.64,1.439217,1.423824,0.877571,52,N,N,0.0965,0.1271216463414634,-1.8519
AAL,CALL,18.0,2022-04-14,46,17.46,0,0.45826114458318773,5178,1.15,0.967398,0.949457,0.841216,52,N,N,0.0639,0.1665847826086956,-3.5398
AAL,CALL,19.0,2022-04-14,46,17.46,0,0.45826114458318773,4499,0.77,0.607917,0.604423,0.789503,52,N,N,0.0405,0.21276623376623374,-5.3333
AAL,CALL,20.0,2022-04-14,46,17.46,0,0.45826114458318773,11581,0.51,0.377091,0.367734,0.739394,52,N,N,0.0255,0.2697794117647059,-6.1224
AAL,CALL,21.0,2022-04-14,46,17.46,0,0.45826114458318773,3304,0.34,0.216195,0.214672,0.635868,52,N,N,0.0162,0.36637205882352947,-9.375
AAL,CALL,22.0,2022-04-14,46,17.46,0,0.45826114458318773,3441,0.22,0.116276,0.121965,0.554386,52,N,N,0.01,0.4585431818181818,-4.7619
AAL,CALL,23.0,2022-04-14,46,17.46,0,0.45826114458318773,2248,0.14,0.066112,0.066563,0.475451,52,N,N,0.0061,0.5261607142857144,-15.3846
AAL,PUT,14.5,2022-03-11,12,17.46,0,0.45826114458318773,2194,0.09,0.004708,0.005422,0.060248,52,Y,N,0.0062,0.9437222222222222,-25.0
AAL,PUT,16.0,2022-03-11,12,17.46,0,0.45826114458318773,3269,0.29,0.105317,0.100949,0.363163,52,N,N,0.0181,0.6443689655172413,-11.1111
AAL,PUT,14.0,2022-03-18,19,17.46,0,0.45826114458318773,5133,0.13,0.00774,0.009259,0.07122,52,Y,N,0.0093,0.9346192307692308,-8.3333
AAL,PUT,14.5,2022-03-18,19,17.46,0,0.45826114458318773,1286,0.18,0.021893,0.023269,0.129274,52,Y,N,0.0124,0.8745499999999999,-5.8824
AAL,PUT,15.0,2022-03-18,19,17.46,0,0.45826114458318773,15497,0.23,0.050569,0.05161,0.224391,52,N,N,0.0153,0.7778717391304347,-9.0909
AAL,PUT,16.0,2022-03-18,19,17.46,0,0.45826114458318773,27611,0.42,0.193185,0.187707,0.459963,52,N,N,0.0262,0.5465571428571429,-7.5
AAL,PUT,17.0,2022-03-18,19,17.46,0,0.45826114458318773,27955,0.74,0.509327,0.494597,0.688279,52,N,N,0.0435,0.321672972972973,-5.5556
AAL,PUT,18.0,2022-03-18,19,17.46,0,0.45826114458318773,7656,1.23,1.031475,1.013443,0.838597,52,N,N,0.0683,0.16873252032520322,-4.1322
AAL,PUT,19.0,2022-03-18,19,17.46,0,0.45826114458318773,6585,1.9,1.739714,1.732118,0.915639,52,N,N,0.1,0.08635999999999995,-2.6596
AAL,PUT,20.0,2022-03-18,19,17.46,0,0.45826114458318773,1013,2.72,2.591699,2.597009,0.954783,52,N,N,0.136,0.04619338235294123,-2.2305
AAL,PUT,21.0,2022-03-18,19,17.46,0,0.45826114458318773,1384,3.63,3.546681,3.547473,0.977265,52,N,N,0.1729,0.022843801652892525,-4.2254
AAL,PUT,12.5,2022-03-25,26,17.46,0,0.45826114458318773,1388,0.1,0.000683,0.001501,0.015014,52,Y,N,0.008,0.98908,-37.5
AAL,PUT,14.0,2022-03-25,26,17.46,0,0.45826114458318773,1012,0.2,0.022052,0.024407,0.122037,52,Y,N,0.0143,0.8838524999999999,-22.2222
AAL,PUT,13.0,2022-04-14,46,17.46,0,0.45826114458318773,1755,0.23,0.026635,0.029915,0.130067,52,Y,N,0.0177,0.8770652173913044,-9.0909
AAL,PUT,14.0,2022-04-14,46,17.46,0,0.45826114458318773,6272,0.34,0.08537,0.093181,0.274062,52,Y,N,0.0243,0.737425,-6.0606
AAL,PUT,15.0,2022-04-14,46,17.46,0,0.45826114458318773,9488,0.53,0.241472,0.229988,0.455607,52,N,N,0.0353,0.5552264150943397,-1.9231
AAL,PUT,16.0,2022-04-14,46,17.46,0,0.45826114458318773,21316,0.79,0.477924,0.475578,0.604967,52,N,N,0.0494,0.39651772151898734,-3.8961
AAL,PUT,17.0,2022-04-14,46,17.46,0,0.45826114458318773,25632,1.15,0.867972,0.853048,0.754758,52,N,N,0.0676,0.25173043478260865,-0.8696
AAL,PUT,18.0,2022-04-14,46,17.46,0,0.45826114458318773,13091,1.65,1.399212,1.377428,0.848007,52,N,N,0.0917,0.15859393939393934,-1.8405
AAL,PUT,19.0,2022-04-14,46,17.46,0,0.45826114458318773,7297,2.28,2.03726,2.034171,0.893535,52,N,N,0.12,0.10714232456140342,-1.7699
AAL,PUT,20.0,2022-04-14,46,17.46,0,0.45826114458318773,1469,3.02,2.817256,2.803117,0.932866,52,N,N,0.151,0.06947466887417222,-2.0067
AAPL,CALL,160.0,2022-03-11,12,164.85001,0.0053,0.24758842693449948,3335,6.68,6.123453,6.167199,0.923233,58,N,N,0.0417,0.08004101796407184,-6.9767
AAPL,CALL,162.5,2022-03-11,12,164.85001,0.0053,0.24758842693449948,2310,4.83,4.505786,4.435658,0.932875,58,N,N,0.0297,0.07438467908902696,-5.3191
AAPL,CALL,165.0,2022-03-11,12,164.85001,0.0053,0.24758842693449948,12380,3.28,2.97386,3.025485,0.922404,58,N,N,0.0199,0.08546570121951208,-4.6875
AAPL,CALL,167.5,2022-03-11,12,164.85001,0.0053,0.24758842693449948,5615,2.04,2.012022,1.946674,0.986285,58,N,N,0.0122,0.029731372549019627,-6.0606
AAPL,CALL,170.0,2022-03-11,12,164.85001,0.0053,0.24758842693449948,14934,1.12,1.139791,1.176895,1.050799,58,N,N,0.0066,0.034234821428571344,-3.6364
AAPL,CALL,172.5,2022-03-11,12,164.85001,0.0053,0.24758842693449948,2074,0.58,0.696677,0.666424,1.201168,58,N,N,0.0034,0.17508706896551732,-10.9091
AAPL,CALL,175.0,2022-03-11,12,164.85001,0.0053,0.24758842693449948,17243,0.29,0.319473,0.352524,1.215601,58,N,N,0.0017,0.1586155172413794,-19.2308
AAPL,CALL,177.5,2022-03-11,12,164.85001,0.0053,0.24758842693449948,1311,0.16,0.176872,0.173778,1.105449,58,N,N,0.0009,0.09578124999999994,-13.3333
AAPL,CALL,180.0,2022-03-11,12,164.85001,0.0053,0.24758842693449948,12172,0.1,0.058223,0.079622,0.796219,58,N,N,0.0006,0.3107750000000001,-22.2222
AAPL,CALL,115.0,2022-03-18,19,164.85001,0.0053,0.24758842693449948,5299,49.97,50.178786,50.178786,1.004178,58,Y,N,0.4345,0.004178226936161766,-0.7028
AAPL,CALL,120.0,2022-03-18,19,164.85001,0.0053,0.24758842693449948,1941,45.03,45.19308,45.19308,1.003622,58,N,N,0.3753,0.0036215856095936213,-0.7804
AAPL,CALL,125.0,2022-03-18,19,164.85001,0.0053,0.24758842693449948,1769,40.03,40.207375,40.207375,1.004431,58,N,N,0.3202,0.004431051711216534,-0.8783
AAPL,CALL,130.0,2022-03-18,19,164.85001,0.0053,0.24758842693449948,3688,35.13,35.221669,35.221685,1.00261,58,N,N,0.2702,0.002609649871904273,-1.0014
AAPL,CALL,135.0,2022-03-18,19,164.85001,0.0053,0.24758842693449948,2841,30.18,30.235964,30.236284,1.001865,58,N,N,0.2236,0.001859642147117313,-0.8319
AAPL,CALL,140.0,2022-03-18,19,164.85001,0.0053,0.24758842693449948,6050,25.3,25.252184,25.254116,0.998186,58,N,N,0.1807,0.0018517786561265195,-1.1928
AAPL,CALL,145.0,2022-03-18,19,164.85001,0.0053,0.24758842693449948,9371,20.53,20.290401,20.293815,0.988496,58,N,N,0.1416,0.011587530443253882,-1.2255
AAPL,CALL,150.0,2022-03-18,19,164.85001,0.0053,0.24758842693449948,19799,15.85,15.43551,15.431724,0.973849,58,N,N,0.1057,0.0262702208201892,-1.2698
AAPL,CALL,155.0,2022-03-18,19,164.85001,0.0053,0.24758842693449948,12146,11.53,10.883746,10.864341,0.94395,58,N,N,0.0744,0.05689128360797913,-2.193
AAPL,CALL,157.5,2022-03-18,19,164.85001,0.0053,0.24758842693449948,2943,9.45,8.80191,8.782862,0.931419,58,N,N,0.06,0.06958878306878304,-2.139
AAPL,CALL,160.0,2022-03-18,19,164.85001,0.0053,0.24758842693449948,26099,7.53,6.916884,6.906027,0.918577,58,N,N,0.0471,0.08214402390438254,-2.0134
AAPL,CALL,162.5,2022-03-18,19,164.85001,0.0053,0.24758842693449948,4228,5.78,5.33733,5.26563,0.923413,58,N,N,0.0356,0.08278892733564022,-2.6316
AAPL,CALL,165.0,2022-03-18,19,164.85001,0.0053,0.24758842693449948,35300,4.22,3.805724,3.873318,0.917848,58,N,N,0.0256,0.0901609004739336,-3.6145
AAPL,CALL,167.5,2022-03-18,19,164.85001,0.0053,0.24758842693449948,2796,2.93,2.839416,2.755872,0.969084,58,N,N,0.0175,0.045172696245733834,-3.125
AAPL,CALL,170.0,2022-03-18,19,164.85001,0.0053,0.24758842693449948,72094,1.94,1.873108,1.889241,0.973836,58,N,N,0.0114,0.03032242268041236,-2.6178
AAPL,CALL,172.5,2022-03-18,19,164.85001,0.0053,0.24758842693449948,9296,1.19,1.260566,1.238385,1.059299,58,N,N,0.0069,0.04997941176470599,-6.9565
AAPL,CALL,175.0,2022-03-18,19,164.85001,0.0053,0.24758842693449948,81396,0.72,0.814206,0.789609,1.130842,58,N,N,0.0041,0.1137604166666667,-4.2857
AAPL,CALL,177.5,2022-03-18,19,164.85001,0.0053,0.24758842693449948,4487,0.41,0.426906,0.475927,1.160797,58,N,N,0.0023,0.10101585365853664,-10.2564
AAPL,CALL,180.0,2022-03-18,19,164.85001,0.0053,0.24758842693449948,59334,0.26,0.282839,0.281212,1.087844,58,N,N,0.0014,0.08471346153846154,-8.0
AAPL,CALL,182.5,2022-03-18,19,164.85001,0.0053,0.24758842693449948,2416,0.17,0.138773,0.155735,0.916088,58,N,N,0.0009,0.1338,-42.8571
AAPL,CALL,185.0,2022-03-18,19,164.85001,0.0053,0.24758842693449948,34512,0.12,0.066211,0.085271,0.710594,58,N,N,0.0006,0.36882499999999996,-9.0909
AAPL,CALL,160.0,2022-03-25,26,164.85001,0.0053,0.24758842693449948,2095,8.15,7.621562,7.560214,0.935161,58,N,N,0.0509,0.0686026993865031,-3.75
AAPL,CALL,165.0,2022-03-25,26,164.85001,0.0053,0.24758842693449948,13289,4.88,4.508871,4.589397,0.94045,58,N,N,0.0296,0.06780040983606556,-3.125
AAPL,CALL,170.0,2022-03-25,26,164.85001,0.0053,0.24758842693449948,24312,2.54,2.569215,2.517972,1.011502,58,N,N,0.0149,0.010087204724409434,-5.668
AAPL,CALL,175.0,2022-03-25,26,164.85001,0.0053,0.24758842693449948,17279,1.08,1.291898,1.246165,1.196202,58,N,N,0.0062,0.17502916666666657,-7.6923
AAPL,CALL,180.0,2022-03-25,26,164.85001,0.0053,0.24758842693449948,2407,0.44,0.496702,0.54774,1.244863,58,N,N,0.0024,0.18686590909090905,-9.5238
AAPL,CALL,185.0,2022-03-25,26,164.85001,0.0053,0.24758842693449948,2203,0.21,0.20618,0.217105,1.033833,58,N,N,0.0011,0.02601190476190474,-27.7778
AAPL,CALL,190.0,2022-03-25,26,164.85001,0.0053,0.24758842693449948,1766,0.1,0.064393,0.076394,0.763944,58,N,N,0.0005,0.29606499999999997,-37.5
AAPL,CALL,175.0,2022-04-01,33,164.85001,0.0053,0.24758842693449948,3045,1.5,1.718908,1.688974,1.145938,58,N,N,0.0086,0.1359606666666667,-7.6389
AAPL,CALL,180.0,2022-04-01,33,164.85001,0.0053,0.24758842693449948,4137,0.68,0.816514,0.853053,1.25449,58,N,N,0.0038,0.2276227941176469,-12.5
AAPL,CALL,185.0,2022-04-01,33,164.85001,0.0053,0.24758842693449948,2667,0.32,0.396858,0.395849,1.240181,58,N,N,0.0017,0.23860468749999997,-16.6667
AAPL,CALL,190.0,2022-04-01,33,164.85001,0.0053,0.24758842693449948,1775,0.17,0.115025,0.16823,0.989586,58,N,N,0.0009,0.16689705882352948,-53.8462
AAPL,CALL,170.0,2022-04-08,40,164.85001,0.0053,0.24758842693449948,10051,3.6,3.752398,3.644729,1.042333,58,N,N,0.0212,0.027378749999999945,-8.6957
AAPL,CALL,120.0,2022-04-14,46,164.85001,0.0053,0.24758842693449948,1197,45.38,45.678915,45.679204,1.006593,58,N,N,0.3782,0.006590116791538089,-0.7743
AAPL,CALL,130.0,2022-04-14,46,164.85001,0.0053,0.24758842693449948,1060,35.65,35.752427,35.758153,1.003034,58,N,N,0.2742,0.0029534361851332428,-0.8451
AAPL,CALL,135.0,2022-04-14,46,164.85001,0.0053,0.24758842693449948,1259,30.93,30.818229,30.822709,0.996531,58,N,N,0.2291,0.0035412544455221628,-1.1382
AAPL,CALL,140.0,2022-04-14,46,164.85001,0.0053,0.24758842693449948,7930,26.25,25.92329,25.949784,0.988563,58,N,N,0.1875,0.01194144761904757,-1.1494
AAPL,CALL,145.0,2022-04-14,46,164.85001,0.0053,0.24758842693449948,3144,21.75,21.206675,21.212372,0.975281,58,N,N,0.15,0.024849494252873586,-1.3889
AAPL,CALL,150.0,2022-04-14,46,164.85001,0.0053,0.24758842693449948,3385,17.45,16.776025,16.739223,0.961377,58,N,N,0.1163,0.03967770773638966,-1.7341
AAPL,CALL,155.0,2022-04-14,46,164.85001,0.0053,0.24758842693449948,12143,13.4,12.610322,12.665667,0.945199,58,N,N,0.0865,0.056866082089552294,-1.5038
AAPL,CALL,160.0,2022-04-14,46,164.85001,0.0053,0.24758842693449948,16354,9.7,9.270322,9.134841,0.955703,58,N,N,0.0606,0.0512802577319587,-1.0363
AAPL,CALL,165.0,2022-04-14,46,164.85001,0.0053,0.24758842693449948,10475,6.55,6.158513,6.267508,0.956872,58,N,N,0.0397,0.05144877862595414,-1.5385
AAPL,CALL,170.0,2022-04-14,46,164.85001,0.0053,0.24758842693449948,17368,4.05,4.204057,4.075332,1.038039,58,N,N,0.0238,0.02214679012345685,-2.5
AAPL,CALL,175.0,2022-04-14,46,164.85001,0.0053,0.24758842693449948,28329,2.3,2.42567,2.505088,1.089169,58,N,N,0.0131,0.07190391304347843,-4.9107
AAPL,CALL,180.0,2022-04-14,46,164.85001,0.0053,0.24758842693449948,37345,1.22,1.516341,1.453879,1.242902,58,N,N,0.0068,0.21730327868852456,-6.7797
AAPL,CALL,185.0,2022-04-14,46,164.85001,0.0053,0.24758842693449948,29130,0.63,0.715745,0.795647,1.262932,58,N,N,0.0034,0.1995174603174603,-6.5574
AAPL,CALL,190.0,2022-04-14,46,164.85001,0.0053,0.24758842693449948,16004,0.36,0.419916,0.412751,1.166433,58,N,N,0.0019,0.15648194444444447,-8.8235
AAPL,CALL,195.0,2022-04-14,46,164.85001,0.0053,0.24758842693449948,9706,0.22,0.141142,0.205056,0.932075,58,N,N,0.0011,0.2131863636363637,-15.0
AAPL,CALL,200.0,2022-04-14,46,164.85001,0.0053,0.24758842693449948,12259,0.15,0.081649,0.096366,0.642442,58,N,N,0.0008,0.4066166666666667,-7.1429
AAPL,CALL,205.0,2022-04-14,46,164.85001,0.0053,0.24758842693449948,7295,0.11,0.022156,0.042498,0.386345,58,N,N,0.0005,0.7061181818181819,-10.0
AAPL,PUT,135.0,2022-03-11,12,164.85001,0.0053,0.24758842693449948,1372,0.15,0,4e-06,2.5e-05,58,N,N,0.0011,0.9999866666666667,-23.0769
AAPL,PUT,140.0,2022-03-11,12,164.85001,0.0053,0.24758842693449948,3982,0.24,0,0.000172,0.000719,58,N,N,0.0017,0.9996416666666667,-13.6364
